text;labels
akusukamakanburgerdanfries;Aku suka makan burger dan fries.
kamutelatidakhadirkelasminggudepanya;Kamu telat tidak hadir kelas minggu depannya.
kitapergikepantaimembawaikanmandisepuasnya;Kita pergi ke pantai membawaikan mandi sepantasnya.
merekatertawasambilberbicarasesekalibanyakygdlugdlagd;Mereka tertawa sambil berbicara sesekali banjir gila-gilaan.
sayangapaharuspergijauhdarirumah;Sayang, apa harus pergi jauh dari rumah?
apasudahmenentukanskemamendatang;Apa sudah menentukan skema mendatang?
kitatidakhargainamaoranglain;Kita tidak menghargai nama orang lain.
kamuadahadiahnyangsangatberartobagiaku;Kamu ada hadiah yang sangat berarti bagiku.
akuberkunjungkemalangdengansahabat-sahabatku;Aku berkunjung ke Malang dengan sahabat-sahabatku.
merekaberkumpuldiwarungkopiuntukbersantaidanbercerita;Mereka berkumpul di warung kopi untuk bersantai dan bercerita.
akutidurtikettiketkonsermereka;Aku sudah tiba di tiket tiket konser mereka.
kamubelumselesaikantugasrumahmu;Kamu belum selesaikan tugas rumahmu.
kitasukaakanmusikdangdut;Kita suka akan musik dangdut.
merekadatangkemalamkepesta;Mereka datang kemalam ke pesta.
sayakehilangankuncimobilku;Saya kehilangan kunci mobilku.
apakahkamumauikutbermainfutsaldengankami;Apakah kamu mau ikut bermain futsal dengan kami?
kitaberjalan-jalankemallagim;Kita berjalan-jalan ke mall lagi.
merekabersenang-senangdiwahanaair;Mereka bersenang-senang di wahana air.
sayamakansemangsakemarinkkali;Saya makan semangka sangat kenyang kali.
akuseringberteman dengananjingtetangga;Aku sering berteman dengan anjing tetangga.
akuadlhmaukmmbeliknbyrbykmainanbrtipe;Aku sudah mau kamu membelikan banyak mainan bertipe.
kmuhrtlhitnggldalamujndkptlponku;Kamu harus lah itung gaji dalam uang dapat teleponku.
kitatggldisnibukankahmyangharusjgkuliah;Kita tagih dulu ini bukan kamu yang harus juga kuliah.
mrkbuknhnyaberkungjngtapijgtaathl;Mereka bukan hanya berkunjung tapi juga taaht.
syairistirsingberjlnknaksrjghrmlmlm;Saya risih tersinggung berjalan kanak-kanak seramai malam.
apahkautahubhwktbiannamabelaku;Apa kamu tahu buah waktubian nama belakangku.
ktnggpkutsngghngngntgpygdksahbatku;Ketinggalan gap kamu tusing hangatnya gap dekat sahabatku.
akusdhprgikmgrpmptinambtktkmstgi;Aku sudah pergi ke Magelang rampung pti namun bantutkan waktu masih tinggi.
kitadmtgrbgaisblnkalsjdksahbattslh;Kita dumatanggar bagais belon kalasad jadi sahabat sahlah.
mrkmnikmatidurdkterntngdbrwnyagnteng;Mereka nikmati duduk diterentang deburan yang ganteng.
akuadhmwmuahdmkgdntng;Aku sudah mau muah di kamu ga penting.
