text;normalization
Aku pngen jlan-jlan bnyak tmpat, tp gk ad tmn yg bsa ikutin;Aku pengen jalan-jalan banyak tempat, tapi gak ada teman yang bisa ikutin
Blm tntu nnti bisa ikut, tpi aq pngen coba;Belum tentu nanti bisa ikut, tapi aku pengen coba
Ntar sore ktmu di kfe ya, aku blm pngen pulang;Nanti sore ketemu di kafe ya, aku belum pengen pulang
Lbh mnyenangkan jalan kaki drpd nunggu lama dlm trms;Lebih menyenangkan jalan kaki daripada nunggu lama dalam transportasi
Aq pngen jajan es krim, kira-kira dpn ad tkg es krim gk ya?;Aku pengen jajan es krim, kira-kira depan ada tukang es krim gak ya?
Bli brg elektronik, nnti pngen tnya spesifikasinya lbh dlu;Beli barang elektronik, nanti pengen tanya spesifikasinya lebih dulu
Pyek kopi nyumpak di rumah, gk tau makan yg len;Piyek kopi nyampah di rumah, gak tau makan yang lain
Aq suka makan bakso, tp gk ad yg enak di dkat kmpus;Aku suka makan bakso, tapi gak ada yang enak di dekat kampus
Jgn prgi dlu, tgu aku dkt sna;Jangan pergi dulu, tunggu aku di situ
Kmrn sya nglihat tayangan flm horor, sya jd takut mlm-malm;Kemarin saya nonton tayangan film horor, saya jadi takut malam-malam
Say ana menyuka hobi memasak sayur.;Saya sangat menyukai hobi memasak sayur.
Kamti sedang pergi berlibur ke pantaai indah.;Kami sedang pergi berlibur ke pantai indah.
Saya tengah belajar memamfaatkan wang dengan baik.;Saya tengah belajar memanfaatkan uang dengan baik.
Kami suka menontton film aksi seru.;Kami suka menonton film aksi seru.
Benda tersebut terlihat sepperti mainan anak-anak.;Benda tersebut terlihat seperti mainan anak-anak.
Tolong bantuu saya cari kunci di lorong rumah.;Tolong bantu saya cari kunci di lorong rumah.
Saat malam hari, saya senang mendengar bintang bersinar.;Saat malam hari, saya senang mendengar bintang bersinar.
Ayah memancing ikan di sungai menggunakan rawai.;Ayah memancing ikan di sungai menggunakan jaring.
Kucu adalah binatang yang lucu dan menggemaskan.;Kucing adalah binatang yang lucu dan menggemaskan.
Kambing betina melahirkan anak domba di peternakan.;Kambing betina melahirkan anak domba di peternakan.
Tulisan itu tampak berbeda dari yang saya lihat sebelumnya.;Tulisan itu tampak berbeda dari yang saya lihat sebelumnya.
Tolong sambungkan saya ke nomor telepon 081234567890.;Tolong sambungkan saya ke nomor telepon 081234567890.
Jangan lupa bawa payung saat hujan turun.;Jangan lupa bawa payung saat hujan turun.
Tas yang dibeli adikku warnanya cerah dan menarik.;Tas yang dibeli adikku warnanya cerah dan menarik.
Saya ingin berkunjung ke museum seni rupa akhir pekan ini.;Saya ingin berkunjung ke museum seni rupa akhir pekan ini.
Ayam betina bertelur di kandang sebelah kiri.;Ayam betina bertelur di kandang sebelah kiri.
Motor hitam itu sering terlihat melintas di jalan ini.;Motor hitam itu sering terlihat melintas di jalan ini.
Resep masakan ini mudah dipraktekkan di dapur rumah.;Resep masakan ini mudah dipraktikkan di dapur rumah.
Gadis itu sedang mengecat dinding rumahnya biru muda.;Gadis itu sedang mengecat dinding rumahnya biru muda.
Burung-burung itu berkumpul di atas pohon tinggi.;Burung-burung itu berkumpul di atas pohon tinggi.
Saay suak sehnagat maanis dngiin.;Saya suka senang manis dingin.
